feature,density,fire_count,mean_activation_when_active,dead
70,0.003163163411502751,510,1.2754750261119767,False
71,0.005997605919457177,967,0.7798077387055296,False
72,7.442737438830002e-05,12,2.0350831945737204,False
73,0.0014079178321786752,227,1.6119477528307407,False
74,0.00014265246757757502,23,7.990860192672066,False
75,0.0018110661101153004,292,1.699005906304268,False
76,0.0023258554496343757,375,1.3235450286865234,False
77,0.0010419832414362003,168,1.1393152007034846,False
78,0.007411726032834877,1195,0.7424696220014884,False
79,0.0020219436708821506,326,1.8118579511993502,False
80,0.0020343482332802003,328,2.057292466483465,False
81,0.0005520030267132251,89,1.7846060241206307,False
82,0.0013086813329942753,211,1.1362996881042047,False
83,0.00014885474877660004,24,1.7193978875875473,False
84,0.0017118296109309005,276,1.033109572486601,False
85,0.00021087756076685005,34,12.782661346828236,False
86,2.4809124796100004e-05,4,1.3481353521347046,False
87,0.00013645018637855003,22,2.1611424792896616,False
88,0.019896918086472204,3208,0.8595230341552201,False
89,8.683193678635003e-05,14,1.6954982706478663,False
90,0.0025553398539983007,412,37.230842320664415,False
91,0.0015443680185572254,249,1.1444515674468503,False
92,0.00015505702997562504,25,2.0155316734313966,False
93,0.004056291904162351,654,0.8964073169486603,False
94,0.003026713225124201,488,1.7401435636594647,False
95,0.02682486618578313,4325,1.1788268231518695,False
96,0.0026111603847895257,421,1.0467600086239341,False
97,0.004118314716152601,664,1.1611796818583844,False
98,0.0020405505144792256,329,1.3764889294615632,False
99,0.0006450372446986001,104,2.637522496856176,False
100,0.0036283345014296257,585,0.8656054651635325,False
101,0.0011102083346254752,179,2.674685943060081,False
102,0.0004651710899268751,75,4.968442573547363,False
103,0.0016994250485328503,274,7.176269718330272,False
104,0.0004837779335239501,78,1.3853563956725292,False
105,0.0018854934845036005,304,1.1647577085777332,False
106,0.014842058909266828,2393,1.9369150522210534,False
107,6.202281199025001e-06,1,5.788421630859375,False
108,0.0004651710899268751,75,1.335341444015503,False
109,0.0013024790517952502,210,1.4207400696618215,False
110,0.0013396927389894002,216,1.5457021671312827,False
111,0.004757149679652176,767,0.9569356214580511,False
112,0.0012776699269991503,206,11.679085803842082,False
113,0.009700367795275102,1564,6.790267399204966,False
114,0.003826807499798426,617,2.003171613962183,False
115,0.0009675558670479002,156,1.1346607299951406,False
116,0.0026359695095856256,425,2.0014296890707577,False
117,0.0028592516327505257,461,1.8772166985493162,False
118,0.0006264304011015251,101,1.1517546578209,False
119,0.0018978980469016504,306,1.1898395197064269,False
120,0.0020963710452704507,338,4.015581279464022,False
121,0.0021583938572607006,348,1.762875564139465,False
122,0.0006760486506937252,109,4.684454325142257,False
123,7.442737438830002e-05,12,1.9550326466560364,False
124,0.0025367330104012257,409,1.476875139623516,False
125,0.00027290037275710005,44,1.3573752316561611,False
126,0.005786728358690326,933,0.9776232415073555,False
127,0.0007690828686791001,124,1.1673618382023228,False
128,0.0004651710899268751,75,1.275205217997233,False
129,0.008962296332591126,1445,0.9359943871679604,False
130,4.961824959220001e-05,8,1.0682758837938309,False
131,0.0018792912033045754,303,0.9507943985879225,False
132,0.00030391177875222506,49,2.6333499514326757,False
133,0.0010978037722274253,177,4.601492600252399,False
134,0.00013645018637855003,22,11.354614501649683,False
135,0.00019227071716977504,31,1.3147674145237092,False
136,0.0003907437155385751,63,1.221983411955455,False
137,0.0022886417624402257,369,1.363885813612279,False
138,0.0007256669002859252,117,1.6153489106740706,False
139,0.0021645961384597254,349,0.882762545500922,False
140,0.0015939862681494253,257,0.9844201260503628,False
141,0.00017986615477172505,29,13.188372644884833,False
142,0.003386445534667651,546,1.2022315604346139,False
143,0.0035663116894393758,575,0.957724143318508,False
144,0.0005830144327083501,94,1.8830620126521334,False
145,0.0022204166692509505,358,2.003572511939363,False
146,0.0032623999106871507,526,1.1531812077239438,False
147,0.00017986615477172505,29,3.3656561086917747,False
148,0.0008621170866644752,139,1.4856506508888958,False
149,0.008397888743479852,1354,9.927800798257662,False
150,0.0005644075891112751,91,1.4898077367426275,False
151,0.005426996049146877,875,0.9794059638977051,False
152,0.0020343482332802003,328,1.7527133422653849,False
153,0.0005023847771210251,81,1.5716416482572202,False
154,0.00011784334278147503,19,0.6232922077178955,False
155,0.00027290037275710005,44,7.952239524234425,False
156,0.0018110661101153004,292,2.316925876352885,False
157,0.0007070600566888501,114,2.2359210838351333,False
158,0.012379753273253902,1996,1.0615053253326723,False
159,0.003851616624594526,621,0.7050542547315023,False
160,0.007858290279164676,1267,1.3677345714704578,False
161,0.0003411254659463751,55,1.9213789614764127,False
162,0.004850183897637551,782,1.0902245697158073,False
163,5.582053079122501e-05,9,4.947304275300768,False
164,0.011207522126638178,1807,1.0556723769356284,False
165,0.007672221843193927,1237,0.8185430417257447,False
166,0.0019041003281006755,307,0.9085600974117117,False
167,0.0021521915760616753,347,1.2448585727372843,False
168,0.0005582053079122502,90,2.639283463690016,False
169,0.0004899802147229751,79,1.8364930650855922,False
170,0.0009985672730430252,161,1.2660475280714332,False
171,0.0016187953929455254,261,2.973538279076646,False
172,0.0009241398986547252,149,1.893063897254483,False
173,0.00017986615477172505,29,2.181162447764956,False
174,1.8606843597075006e-05,3,1.5455681482950847,False
175,0.0009303421798537502,150,3.1088277983665464,False
176,0.007355905502043652,1186,1.6098218699932902,False
177,0.015021925064038554,2422,6.311255485286996,False
178,0.0003783391531405251,61,10.12164638081535,False
179,0.0002480912479610001,40,0.9855659812688827,False
180,0.0023506645744304755,379,2.704394132921123,False
181,0.0018482797973094504,298,1.49445553393972,False
182,0.0003411254659463751,55,1.6708162654529919,False
183,0.0003411254659463751,55,0.8893717809156938,False
184,0.004341596839317501,700,1.0421553816114153,False
185,0.008987105457387227,1449,1.0618220764328645,False
186,0.0018482797973094504,298,2.5478534162444557,False
187,0.0018544820785084755,299,1.3499438515474964,False
188,0.003615929939031576,583,0.9369435737717826,False
189,0.0007256669002859252,117,5.358482849903596,False
190,0.00027290037275710005,44,1.3901754563505,False
191,0.0006946554942908002,112,5.246720514127186,False
192,0.0033058158790803256,533,1.4571249735511937,False
193,0.0031259497243086008,504,1.5251142609687078,False
194,0.0022142143880519256,357,1.3720067929820854,False
195,0.0017924592665182254,289,1.0664953970991617,False
196,0.0004031482779366251,65,3.948776052548335,False
197,0.0028902630387456505,466,1.2064520742248568,False
198,0.0026111603847895257,421,1.258629070041865,False
199,0.020442718831986405,3296,0.9620682984879874,False
200,0.0027724196959641755,447,2.6882098001121673,False
201,0.0003287209035483251,53,7.890682054015826,False
202,0.003541502564643276,571,1.056716951513875,False
203,0.0023568668556295004,380,3.4466059091844055,False
204,0.00010543878038342502,17,1.6420177151175106,False
205,0.00013645018637855003,22,1.503315730528398,False
206,0.0007938919934752001,128,1.1794699672609568,False
207,0.0006636440882956752,107,4.803461230803873,False
208,0.0019351117340958004,312,1.837580225406549,False
209,0.0005147893395190752,83,1.8590858068810887,False
210,2.4809124796100004e-05,4,0.935473620891571,False
211,0.0020715619204743504,334,1.193826368468964,False
212,1.2404562398050002e-05,2,0.2392575740814209,False
213,0.0037213687194150007,600,1.7315190092722574,False
214,0.0020901687640714254,337,1.4501841485677205,False
215,0.0007442737438830002,120,1.4282224575678508,False
216,0.0034980865962501006,564,1.7111534598871325,False
217,0.0013955132697806253,225,1.5285366683536106,False
218,0.005892167139073751,950,0.8864818086122211,False
219,0.0008559148054654502,138,1.842117658559827,False
220,0.0002977094975532001,48,3.6285356481870017,False
221,0.0008187011182713002,132,6.542525051218091,False
222,0.00033492318474735006,54,0.8984394492926421,False
223,0.0005830144327083501,94,1.332999808991209,False
224,0.00016746159237367503,27,3.039286158702992,False
225,0.0009055330550576502,146,4.753017553727921,False
226,0.0022018098256538754,355,2.680087135879087,False
227,0.00035353002834442507,57,1.6618070832470007,False
228,0.0019723254212899504,318,1.2913884078181765,False
229,0.0005023847771210251,81,6.6571470543190285,False
230,0.0014203223945767254,229,1.380060080357514,False
231,0.004906004428428776,791,1.0979525304473607,False
232,0.0020219436708821506,326,1.8157066735753253,False
233,0.42157525537892837,67971,3.5990062843321966,False
234,0.0009365444610527753,151,1.6062623270300052,False
235,0.0015071543313630753,243,1.0701915374018036,False
